"id","type","name","description","includes"
"12","forcing","forc_vaer_csbk","imposed constant background of volcanic aerosols"," decadal2005      ,      decadal2006      ,      piControl      ,      historicalExt      ,      rcp45      ,      rcp85      ,      rcp26      ,      rcp60      ,      esmControl      ,      esmrcp85      ,      esmFixClim1      ,      esmFdbk1      ,       1pctCO2      ,      sstClim      ,      sstClim4xCO2      ,      abrupt4xCO2      ,      sstClimAerosol      ,      historicalGHG "
"15","initial","init_continuation","initial conditions from specific date and experiment (continuation run)"," historicalExt   ,   amip   ,   rcp45   ,   rcp85   ,   rcp26   ,   rcp60   ,   amip4xCO2   ,   amipFuture   ,   amip4K   ,   esmHistorical   ,   esmrcp85 "
"17","ensemble","ensemble_2-or-more","two or more ensemble members"," historical      ,      amip      ,      rcp45      ,      rcp85      ,      rcp26      ,      rcp60      ,      historicalNat      ,      historicalGHG "
"22","spatiotemp","period_2005_95yr","time period from 2005 for more than 95 years"," rcp45 , rcp85 , rcp26 , rcp60 , esmrcp85 "
"33","forcing","forc_slir_prev","prescribed evolving solar irradiance (observed reconstructions)"," decadal1960  ,  decadal1961  ,  decadal1980  ,  decadal1996  ,  decadal2005  ,  decadal2006  ,  historical  ,  historicalExt  ,  amip  ,  rcp45  ,  rcp85  ,  rcp26  ,  rcp60  ,  esmHistorical  ,  esmrcp85  ,  esmFixClim2  ,  esmFdbk2  ,  amip4xCO2  ,  amipFuture  ,  amip4K  ,  historicalNat "
"34","forcing","forc_co2c_prev","prescribed evolving concentrations of CO2 "," decadal1980  ,  decadal1996  ,  decadal2005  ,  decadal2006  ,  historicalExt  ,  rcp45  ,  rcp85  ,  rcp26  ,  rcp60  ,  esmFixClim1  ,  esmFixClim2  ,  esmFdbk1  ,  esmFdbk2  ,  1pctCO2  ,  sstClim4xCO2  ,  amip4xCO2 "
"37","forcing","forc_co2e_prev","prescribed evolving emissions of CO2"," esmHistorical , esmrcp85 "
"38","forcing","forc_wmghg_prev","prescribed evolving concentrations of well mixed green house gases (excl CO2)
"," decadal1980  ,  decadal1996  ,  decadal2005  ,  decadal2006  ,  historicalExt  ,  rcp45  ,  rcp85  ,  rcp26  ,  rcp60  ,  esmrcp85  ,  esmFixClim2  ,  esmFdbk2 "
"41","forcing","forc_slgs_prev","prescribed evolving concentrations or emissions of short-lived gases"," decadal1980 , decadal1996 , decadal2005 , decadal2006 , historicalExt ,  rcp45 , rcp85 , rcp26 , rcp60 , esmrcp85 , esmFixClim2 , esmFdbk2 "
"42","forcing","forc_naer_prev","prescribed evolving concentrations or emissions of natural aerosols or their precursors"," decadal1980 , decadal1996 , decadal2005 , decadal2006 , historicalExt , rcp45 , rcp85 , rcp26 , rcp60 , esmrcp85 , esmFixClim2 , esmFdbk2 "
"45","forcing","forc_aaer_prev","prescribed evolving concentrations or emissions of anthropogenic aerosols or their precursors"," decadal1980   ,   decadal1996   ,   decadal2005   ,   decadal2006   ,   historicalExt  ,  rcp45   ,   rcp85   ,   rcp26   ,   rcp60   ,   esmrcp85   ,   esmFixClim2   ,   esmFdbk2 "
"48","forcing","forc_land_prev","prescribed evolving land cover"," decadal1980 , decadal1996 , decadal2005 , decadal2006 ,  historicalExt , rcp45 , rcp85 , rcp26 , rcp60 , esmrcp85 , esmFixClim2 , esmFdbk2 "
